Wall time,Step,Value
1660405974.4921231,127,94.0
1660406943.2105155,255,95.0
1660407852.7502155,383,87.0
1660408892.3708835,511,91.0
1660409884.7061632,639,96.0
1660410943.7690926,767,81.0
1660411926.9160063,895,91.0
1660412938.0836287,1023,101.0
1660413964.1973495,1151,105.0
1660415005.9319596,1279,109.0
1660416009.40659,1407,104.0
1660417013.8851998,1535,101.0
1660418057.9871955,1663,108.0
1660419070.086153,1791,101.0
1660420096.2887032,1919,108.0
1660421140.2201426,2047,108.0
