Wall time,Step,Value
1660390985.4444094,127,101.0
1660392907.7504041,255,90.0
1660394798.8550522,383,109.0
1660396682.9977844,511,97.0
1660398690.5444741,639,96.0
1660400682.2188048,767,105.0
1660402762.1913378,895,104.0
1660404826.9049323,1023,101.0
1660406769.495476,1151,106.0
1660408743.0727684,1279,103.0
1660410841.261349,1407,114.0
1660412826.2120013,1535,113.0
1660414927.3430676,1663,115.0
1660416943.544952,1791,101.0
1660419006.1455832,1919,122.0
1660421103.54539,2047,119.0
