Wall time,Step,Value
1666255034.268571,127,0.24667733907699585
1666255566.7634685,255,0.24420756101608276
1666256133.0168712,383,0.24330025911331177
1666256614.4662087,511,0.24266685545444489
1666257099.078528,639,0.24257244169712067
1666257643.1245892,767,0.24171045422554016
1666258131.0695524,895,0.24130897223949432
1666258614.420911,1023,0.24051111936569214
1666259118.7944226,1151,0.2395244836807251
1666259638.9434264,1279,0.23930814862251282
1666260114.6083782,1407,0.23824164271354675
1666260582.974417,1535,0.23772786557674408
1666261066.8142567,1663,0.23669077455997467
1666261637.0784273,1791,0.23588919639587402
1666262146.0669096,1919,0.23463264107704163
1666262640.510669,2047,0.23316235840320587
