Wall time,Step,Value
1666223965.5730364,127,-45.0
1666224139.4806652,255,-44.0
1666224327.9272397,383,-36.0
1666224511.083041,511,-50.0
1666224686.9984443,639,-38.0
1666224862.4821775,767,-46.0
1666225041.3133883,895,-34.0
1666225211.2657785,1023,-36.0
1666225385.6950834,1151,-23.0
1666225634.3165534,1279,-39.0
1666225807.1072943,1407,-34.0
1666225989.8744946,1535,-42.0
1666226187.4985287,1663,-29.0
1666226380.442754,1791,-30.0
1666226558.2284591,1919,-41.0
1666226748.0607955,2047,-50.0
