Wall time,Step,Value
1666213949.1522422,127,-42.0
1666214139.8741796,255,-38.0
1666214333.0007243,383,-34.0
1666214533.252186,511,-49.0
1666214781.0474176,639,-40.0
1666214962.469713,767,-46.0
1666215141.1294215,895,-58.0
1666215325.992303,1023,-39.0
1666215501.9669251,1151,-24.0
1666215682.7804844,1279,-23.0
1666215860.061875,1407,-26.0
1666216045.8591332,1535,-32.0
1666216244.6791666,1663,-34.0
1666216493.5192034,1791,-37.0
1666216669.327872,1919,-33.0
1666216864.2303064,2047,-38.0
