Wall time,Step,Value
1664904129.8186576,127,0.20002661645412445
1664904942.172927,255,0.1527404487133026
1664905752.9546988,383,0.14300797879695892
1664906574.0185933,511,0.14088892936706543
1664907387.9486654,639,0.14133688807487488
1664908200.2529533,767,0.1418701857328415
1664909024.7421434,895,0.14159783720970154
1664909824.3755229,1023,0.14240510761737823
1664910651.2083507,1151,0.14270107448101044
1664911472.4015465,1279,0.14304347336292267
1664912278.2100105,1407,0.14358128607273102
1664913101.018629,1535,0.1443919837474823
1664913903.0421624,1663,0.1448042243719101
1664914709.7132268,1791,0.14502395689487457
1664915516.820342,1919,0.14561213552951813
1664916329.6905453,2047,0.14649206399917603
