Wall time,Step,Value
1664921580.7909365,127,-76.0
1664922849.5074437,255,-78.0
1664924112.2536998,383,-82.0
1664925398.835469,511,-92.0
1664926676.2540283,639,-64.0
1664927964.4336612,767,-74.0
1664929236.0335562,895,-78.0
1664930519.6133687,1023,-80.0
1664931790.0481238,1151,-62.0
1664933074.5236392,1279,-74.0
1664934341.8632753,1407,-72.0
1664935605.5575833,1535,-60.0
1664936889.8911097,1663,-54.0
1664938145.5701861,1791,-72.0
1664939423.1916943,1919,-66.0
1664940681.577358,2047,-44.0
