Wall time,Step,Value
1664921568.576116,127,-78.0
1664922837.0554848,255,-76.0
1664924126.6895,383,-72.0
1664925402.268999,511,-92.0
1664926677.6968846,639,-86.0
1664927952.0950427,767,-76.0
1664929236.6932514,895,-82.0
1664930520.38053,1023,-90.0
1664931791.764606,1151,-68.0
1664933087.469092,1279,-82.0
1664934371.9653492,1407,-56.0
1664935663.2330317,1535,-74.0
1664936943.032398,1663,-74.0
1664938220.8302448,1791,-58.0
1664939491.9165528,1919,-64.0
1664940724.4924502,2047,-68.0
