Wall time,Step,Value
1664903093.4382236,127,-12.0
1664904319.409369,255,-14.0
1664905531.3810065,383,-10.0
1664906750.2187417,511,-2.0
1664907969.723923,639,-5.0
1664909177.3013756,767,-10.0
1664910411.8585443,895,-10.0
1664911610.6166835,1023,-11.0
1664912818.4121091,1151,-9.0
1664914028.1319237,1279,-10.0
1664914825.1101873,1407,-7.0
1664915399.6712155,1535,-9.0
1664915981.3722043,1663,-17.0
1664916548.7196367,1791,-13.0
1664917132.541596,1919,-8.0
1664917711.356513,2047,-12.0
