Wall time,Step,Value
1660423655.2671316,127,0.1072513684630394
1660423934.4876015,255,0.09985519200563431
1660424207.9668236,383,0.09826941788196564
1660424485.0556986,511,0.0980396717786789
1660424756.8612392,639,0.09779143333435059
1660424987.2260454,767,0.09794142842292786
1660425224.814814,895,0.09773585200309753
1660425508.2355154,1023,0.09773765504360199
1660425780.7902777,1151,0.09755158424377441
1660426057.9591312,1279,0.09752608090639114
1660426333.1278765,1407,0.0974789708852768
1660426611.3973587,1535,0.09770669788122177
1660426887.9149334,1663,0.0971999540925026
1660427166.9656875,1791,0.09730984270572662
1660427442.7902675,1919,0.09712919592857361
1660427720.8438652,2047,0.09703031182289124
