Wall time,Step,Value
1660423294.8332458,127,101.0
1660425151.2334898,255,99.0
1660427018.8099363,383,93.0
1660428879.5277164,511,109.0
1660430813.461853,639,85.0
1660432757.5607827,767,93.0
1660434783.3526826,895,101.0
1660436815.8932776,1023,113.0
1660438794.4996514,1151,101.0
1660440742.0546372,1279,99.0
1660442812.2558348,1407,105.0
1660444899.9379709,1535,119.0
1660446947.9514189,1663,114.0
1660449076.4824684,1791,112.0
1660451228.1349876,1919,115.0
1660453294.5541785,2047,121.0
