Wall time,Step,Value
1660481007.2907965,127,106.0
1660482204.15843,255,106.0
1660483414.1165938,383,103.0
1660484623.3113434,511,102.0
1660485824.8860757,639,110.0
1660487029.0941107,767,119.0
1660488242.5150154,895,114.0
1660489469.2966573,1023,122.0
1660490689.3511326,1151,120.0
1660491905.8664289,1279,116.0
1660493137.955162,1407,118.0
1660494407.7144294,1535,125.0
1660495778.8812137,1663,117.0
1660497059.4551685,1791,123.0
1660498316.9463685,1919,122.0
1660499620.5153472,2047,115.0
