Wall time,Step,Value
1690913454.47444,127,0.38289201259613037
1690919815.085376,255,0.3636671006679535
1690924381.03937,383,0.36036235094070435
1690929521.3972945,511,0.3576977252960205
1690934240.790279,639,0.3561389446258545
1690936581.2496402,767,0.3541414141654968
1690938367.4994528,895,0.35167932510375977
1690943753.6691618,1023,0.34951502084732056
1690949392.6288333,1151,0.34675535559654236
1690954828.1669106,1279,0.34494271874427795
1690959537.9863222,1407,0.34211498498916626
1690964274.4674377,1535,0.339823454618454
1690970448.2459178,1663,0.33563515543937683
1690975544.2674682,1791,0.3330869674682617
1690980342.4401174,1919,0.3307715952396393
1690985191.7288516,2047,0.32596755027770996
