Wall time,Step,Value
1660424319.2733495,127,94.0
1660426206.4514709,255,104.0
1660428065.8663285,383,99.0
1660430004.7392201,511,111.0
1660431936.9699445,639,116.0
1660433967.8871918,767,103.0
1660436017.2849472,895,118.0
1660437998.9995718,1023,114.0
1660440041.2031937,1151,105.0
1660442072.0472865,1279,118.0
1660444183.3986635,1407,121.0
1660446248.8277345,1535,119.0
1660448397.5820632,1663,112.0
1660450588.680406,1791,113.0
1660452700.9936824,1919,122.0
1660454656.8582325,2047,123.0
