Wall time,Step,Value
1666291116.8564682,127,0.20000530779361725
1666292896.7467782,255,0.1941622942686081
1666294692.7291782,383,0.19365112483501434
1666296521.3506246,511,0.19319449365139008
1666298438.5960152,639,0.19265474379062653
1666300780.4457958,767,0.1918868124485016
1666303104.5083735,895,0.19189687073230743
1666305446.8618176,1023,0.1914920061826706
1666307874.445488,1151,0.19086450338363647
1666310335.364336,1279,0.19032520055770874
1666312792.7234814,1407,0.19016334414482117
1666315064.6031454,1535,0.18964196741580963
1666317457.009383,1663,0.18901152908802032
1666319902.4331872,1791,0.18818247318267822
1666322351.506869,1919,0.18743091821670532
1666324714.7744992,2047,0.18632297217845917
