Wall time,Step,Value
1669854461.951593,127,-21.0
1669854796.3933249,255,-25.0
1669855078.714377,383,-18.0
1669855397.413698,511,-42.0
1669855681.922461,639,-35.0
1669856011.7877123,767,-20.0
1669856336.363663,895,-17.0
1669856623.2278006,1023,-25.0
1669856932.2716844,1151,-13.0
1669857207.9182885,1279,-23.0
1669857520.1253293,1407,-10.0
1669857802.1734474,1535,-12.0
1669858117.854152,1663,-7.0
1669858455.802534,1791,-15.0
1669858737.849345,1919,-16.0
1669859037.1249466,2047,-21.0
