Wall time,Step,Value
1666240266.1410646,127,-29.0
1666240537.8557901,255,-25.0
1666240822.4272954,383,-19.0
1666241091.3962646,511,-7.0
1666241356.2619405,639,-24.0
1666241695.4146194,767,-17.0
1666241976.4909966,895,-20.0
1666242256.8156807,1023,-17.0
1666242533.0342808,1151,-19.0
1666242805.8844411,1279,-15.0
1666243086.776416,1407,-21.0
1666243442.0653837,1535,-36.0
1666243710.8719242,1663,-27.0
1666243991.952982,1791,-14.0
1666244269.4173868,1919,-12.0
1666244541.616147,2047,-17.0
