Wall time,Step,Value
1666203542.4417756,127,-44.0
1666203674.1782596,255,-37.0
1666203802.801329,383,-50.0
1666203934.3780417,511,-40.0
1666204070.967426,639,-41.0
1666204209.0026793,767,-45.0
1666204335.2348614,895,-51.0
1666204467.32318,1023,-54.0
1666204599.6064274,1151,-53.0
1666204818.1358438,1279,-53.0
1666204948.3292716,1407,-53.0
1666205095.4269087,1535,-41.0
1666205228.3227668,1663,-37.0
1666205357.2583468,1791,-47.0
1666205497.1725264,1919,-46.0
1666205632.990966,2047,-45.0
