Wall time,Step,Value
1664904579.0980682,127,0.2722313702106476
1664905846.5462532,255,0.23324446380138397
1664907092.9462984,383,0.22854356467723846
1664908358.9508758,511,0.228390634059906
1664909615.6696386,639,0.22738704085350037
1664910882.8645148,767,0.22814485430717468
1664912155.826344,895,0.2281276285648346
1664913414.9996173,1023,0.22857467830181122
1664914687.0389307,1151,0.22902651131153107
1664915974.0791106,1279,0.22919149696826935
1664916796.3993118,1407,0.22948043048381805
1664917431.5414157,1535,0.229848712682724
1664918044.0114903,1663,0.2302551418542862
1664918671.9712152,1791,0.2313733547925949
1664919305.048258,1919,0.2317824512720108
1664919920.9485247,2047,0.23216715455055237
