Wall time,Step,Value
1670036364.2682695,127,-90.0
1670036579.761888,255,-92.0
1670036808.020261,383,-82.0
1670037029.777261,511,-90.0
1670037242.140316,639,-70.0
1670037462.1565804,767,-94.0
1670037682.536879,895,-74.0
1670037901.009514,1023,-58.0
1670038112.9198027,1151,-74.0
1670038343.429271,1279,-58.0
1670038558.3010297,1407,-58.0
1670038773.6043727,1535,-76.0
1670038996.3003652,1663,-72.0
1670039230.0442007,1791,-54.0
1670039452.8810184,1919,-58.0
1670039689.387282,2047,-58.0
