Wall time,Step,Value
1664890793.227021,127,-94.0
1664891610.409361,255,-94.0
1664892425.3321576,383,-98.0
1664893237.4550166,511,-108.0
1664894050.320905,639,-98.0
1664894864.827087,767,-102.0
1664895677.099404,895,-80.0
1664896494.551771,1023,-98.0
1664897312.0430965,1151,-94.0
1664898111.5286644,1279,-88.0
1664898918.7139897,1407,-84.0
1664899735.0991974,1535,-92.0
1664900550.4825525,1663,-94.0
1664901363.2581735,1791,-82.0
1664902172.902123,1919,-84.0
1664902928.987978,2047,-80.0
