Wall time,Step,Value
1664877456.645578,127,-102.0
1664878275.0023398,255,-104.0
1664879081.2988718,383,-102.0
1664879888.2978387,511,-94.0
1664880705.0628366,639,-98.0
1664881515.3111503,767,-86.0
1664882324.2545886,895,-98.0
1664883141.4739826,1023,-84.0
1664883938.595217,1151,-104.0
1664884748.0382917,1279,-84.0
1664885570.119679,1407,-68.0
1664886379.8957944,1535,-88.0
1664887191.4317818,1663,-90.0
1664888009.6282184,1791,-78.0
1664888828.4194863,1919,-74.0
1664889616.8523529,2047,-74.0
