Wall time,Step,Value
1665035814.1932278,127,-64.0
1665038020.5879889,255,-78.0
1665040252.8396366,383,-60.0
1665042445.5468535,511,-32.0
1665044673.569062,639,-36.0
1665046874.7290099,767,-20.0
1665049096.0199485,895,-56.0
1665051321.4723983,1023,-24.0
1665053550.5579302,1151,-46.0
1665055764.2710075,1279,-64.0
1665057979.4786155,1407,-56.0
1665060193.8221302,1535,-40.0
1665062439.8172445,1663,-38.0
1665064629.0707903,1791,-28.0
1665066843.5134501,1919,-18.0
1665069081.1068585,2047,-20.0
