Wall time,Step,Value
1664964124.5005767,127,-48.0
1664966337.0965672,255,-66.0
1664968568.2514699,383,-30.0
1664970798.4412956,511,-34.0
1664973046.8800166,639,-36.0
1664975273.2868052,767,-44.0
1664977479.689556,895,-52.0
1664979689.4036977,1023,-48.0
1664981929.2684927,1151,-52.0
1664984149.545909,1279,-44.0
1664986324.628176,1407,-18.0
1664988537.4892752,1535,-34.0
1664990777.5117757,1663,-8.0
1664992993.9170544,1791,-22.0
1664995174.958882,1919,-14.0
1664997353.3650541,2047,-30.0
