Wall time,Step,Value
1664889953.2495122,127,-14.0
1664890748.0828123,255,-13.0
1664891536.4616451,383,-12.0
1664892323.1552546,511,-12.0
1664893106.5565512,639,-13.0
1664893907.1569917,767,-14.0
1664894686.135517,895,-13.0
1664895482.5165713,1023,-5.0
1664896271.5534046,1151,-13.0
1664897050.7416186,1279,-11.0
1664897829.4416232,1407,-12.0
1664898607.3497412,1535,-11.0
1664899376.6931374,1663,-14.0
1664900151.6870418,1791,-10.0
1664900922.568448,1919,-11.0
1664901675.1679323,2047,-8.0
