Wall time,Step,Value
1664877237.0147638,127,-10.0
1664878029.6732686,255,-10.0
1664878800.5456388,383,-13.0
1664879595.122886,511,-20.0
1664880351.667635,639,-15.0
1664881115.7238545,767,-13.0
1664881910.352684,895,-13.0
1664882691.3278923,1023,-13.0
1664883459.6992543,1151,-9.0
1664884239.8188038,1279,-8.0
1664885023.1546202,1407,-14.0
1664885803.8342276,1535,-9.0
1664886576.6968687,1663,-17.0
1664887348.4670396,1791,-5.0
1664888147.8376286,1919,-9.0
1664888923.1844523,2047,-9.0
