Wall time,Step,Value
1665346914.3008673,127,0.04977358132600784
1665349487.8129447,255,0.049654148519039154
1665352113.489538,383,0.04955054074525833
1665354714.9020357,511,0.049569979310035706
1665357344.7156792,639,0.04958197474479675
1665360056.9672887,767,0.0494782030582428
1665362510.8166668,895,0.04937082156538963
1665365129.443229,1023,0.04929279163479805
1665367708.6142573,1151,0.04932980611920357
1665370091.2600768,1279,0.04932365566492081
1665372580.6978724,1407,0.049189493060112
1665375219.0881362,1535,0.049104318022727966
1665377823.6135604,1663,0.04901739954948425
1665380412.5067067,1791,0.04887937754392624
1665383106.7788665,1919,0.04872685670852661
1665385504.3678875,2047,0.04863002151250839
