Wall time,Step,Value
1664877235.5374937,127,0.046694330871105194
1664878022.1014326,255,0.04648049920797348
1664878809.1515121,383,0.046346310526132584
1664879585.6917033,511,0.04625054448843002
1664880381.003145,639,0.04615377262234688
1664881172.3641033,767,0.04610186442732811
1664881948.9249156,895,0.046014606952667236
1664882738.8820162,1023,0.04601842537522316
1664883524.3618069,1151,0.04598511382937431
1664884289.6947026,1279,0.04591607302427292
1664885078.4367464,1407,0.04598239064216614
1664885863.6454809,1535,0.04602658003568649
1664886631.0320501,1663,0.04597223550081253
1664887420.5519512,1791,0.04594007879495621
1664888195.4129398,1919,0.04597003757953644
1664888965.215109,2047,0.045938119292259216
