Wall time,Step,Value
1664902654.3805306,127,-12.0
1664903428.9474227,255,-14.0
1664904210.5108104,383,-12.0
1664905001.010956,511,-8.0
1664905781.2914562,639,-10.0
1664906572.0475283,767,-13.0
1664907358.9652343,895,-11.0
1664908140.6186528,1023,-6.0
1664908937.9276142,1151,-7.0
1664909710.1840384,1279,-12.0
1664910499.0532408,1407,-9.0
1664911278.3942258,1535,-5.0
1664912052.9195552,1663,-15.0
1664912844.9719985,1791,-9.0
1664913639.2214007,1919,-11.0
1664914430.6949105,2047,-7.0
