Wall time,Step,Value
1664877236.7088242,127,-10.0
1664878003.589371,255,-13.0
1664878778.752322,383,-22.0
1664879563.5840151,511,-9.0
1664880345.9411242,639,-5.0
1664881126.4551718,767,-11.0
1664881911.9066162,895,-10.0
1664882697.951679,1023,-12.0
1664883484.1701562,1151,-11.0
1664884269.6204038,1279,-10.0
1664885059.1750073,1407,-14.0
1664885829.3801477,1535,-18.0
1664886624.1124818,1663,-18.0
1664887405.1408672,1791,-7.0
1664888179.6820638,1919,-17.0
1664888958.0242887,2047,-10.0
